,site,trap,X,Y,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
574,TMES,CT-TDM-1-75,2354154.076,4049562.843,0,0,0,0,0,0,NA,NA,NA,NA
575,TMES,CT-TDM-1-76,2359947.029,4057511.548,1,0,0,0,NA,NA,NA,NA,NA,NA
576,TMES,CT-TDM-1-77,2360836.966,4058778.156,0,1,1,1,0,0,NA,NA,NA,NA
577,TMES,CT-TDM-1-78,2361815.478,4060045.972,0,0,1,0,1,0,NA,NA,NA,NA
578,TMES,CT-TDM-1-79,2362845.711,4061406.688,1,0,1,0,1,0,NA,NA,NA,NA
579,TMES,CT-TDM-1-81,2360721.098,4056899.506,0,0,0,0,0,0,NA,NA,NA,NA
580,TMES,CT-TDM-1-82,2359629.154,4055523.368,1,0,0,1,0,0,NA,NA,NA,NA
581,TMES,CT-TDM-1-83,2358754.101,4054310.389,0,0,0,0,0,0,NA,NA,NA,NA
582,TMES,CT-TDM-1-84,2357829.363,4053119.789,0,0,0,0,0,1,NA,NA,NA,NA
583,TMES,CT-TDM-1-86,2361719.116,4058265.129,0,0,0,0,0,0,NA,NA,NA,NA
584,TMES,CT-TDM-1-87,2362637.748,4059499.779,0,1,1,0,0,0,NA,NA,NA,NA
585,TMES,CT-TDM-1-88,2363603.137,4060817.993,0,0,0,0,0,0,NA,NA,NA,NA
586,TMES,CT-TDM-1-89,2364630.704,4062161.197,0,0,0,0,1,0,NA,NA,NA,NA
587,PNM,DEER1,413339.674,9157321.229,NA,0,0,0,NA,NA,NA,NA,NA,NA
588,PNM,DEER2,414304.34,9146891.191,NA,0,0,NA,NA,NA,NA,NA,NA,NA
589,PNM,DEER3,416654.53,9164803.37,NA,0,1,1,NA,NA,NA,NA,NA,NA
590,PNM,DEER4,415920.111,9162842.21,NA,0,0,0,NA,NA,NA,NA,NA,NA
591,PNCA,ESTRADA1,710093.413,9104275.528,1,0,NA,NA,NA,NA,NA,NA,NA,NA
592,PNCA,ESTRADA2,712128.969,9104407.964,0,0,NA,NA,NA,NA,NA,NA,NA,NA
593,PNCA,ESTRADA3,708559.954,9104133.034,1,0,0,0,0,0,0,0,0,0
594,PNCA,ESTRADA4,708124.066,9106336.029,0,0,NA,NA,NA,NA,NA,NA,NA,NA
595,PNCA,ESTRADA5,709262.062,9101596.272,NA,NA,NA,NA,0,0,0,0,0,NA
596,RDSA,ex1,318351.627,9727229.094,NA,NA,1,0,0,NA,NA,NA,NA,NA
597,RDSA,ex10,322390.023,9726216.703,NA,NA,NA,NA,0,1,0,0,0,0
598,RDSA,ex11,322449.762,9720989.876,NA,NA,NA,NA,0,1,0,0,0,1
599,PNM,EX1106D1,325943.548,9039305.981,0,1,1,0,NA,NA,NA,NA,NA,NA
600,PNM,EX1106D2,328112.478,9036854.747,0,1,0,0,NA,NA,NA,NA,NA,NA
601,PNM,EX1106D3,330535.746,9034114.61,0,1,1,1,NA,NA,NA,NA,NA,NA
602,PNM,EX1106D4,333207.349,9031048.691,0,0,0,0,NA,NA,NA,NA,NA,NA
603,RDSA,ex12,320303.075,9729415.36,NA,NA,NA,NA,0,0,0,0,0,0
604,PNM,EX1206D1,339133.675,9024203.612,0,0,0,1,NA,NA,NA,NA,NA,NA
605,PNM,EX1206D2,337008.251,9020815.273,0,1,0,0,NA,NA,NA,NA,NA,NA
606,RDSA,ex13,323743.515,9729957.963,NA,NA,NA,NA,0,0,0,0,0,0
607,PNM,EX1306D1,318770.327,9010715.307,0,0,0,1,NA,NA,NA,NA,NA,NA
608,RDSA,ex14,325491.617,9728254.966,NA,NA,NA,NA,0,0,0,1,0,0
609,PNM,EX1506D1,311146.781,9010215.261,NA,1,0,0,NA,NA,NA,NA,NA,NA
610,PNM,EX1506D2,314986.842,9010606.839,NA,1,0,1,NA,NA,NA,NA,NA,NA
